,Nombres,Descripcion,Pagina
0,MindOS,"Mindos es un mercado con IA en el que los usuarios pueden interactuar con los seres de IA diseñados para proporcionar información y orientación sobre diversos temas, como viajes, tendencias de la industria y análisis de acciones.",https://mindos.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,Varaverse,"Varaverse es un metacioso de realidad aumentada (AR) con IA, diseñada para marcas y comercio electrónico.",https://www.varaverse.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,GoatChat,"Goatchat es una herramienta versátil con alimentación de IA que permite a los usuarios crear su propio chatbot de IA, generar arte de IA, escribir novelas e incluso generar audio con su voz",https://goatchat.ai/chat/elmo?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,ChatGenie,Chatear con personajes de ficción en una plataforma.,https://chatgenie.xyz/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,Bollywood AI,Habla con tus actores favoritos de AI Bollywood en WhatsApp,https://www.bollywoodai.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,VOGE,Genere avatares realistas a partir de fotos personales.,https://metabrixlab.com/voge/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,Instant Portrait,Aplicación que crea retratos de selfies.,https://apps.apple.com/us/app/originator-ai/id1658806606?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,ChatAvatar,Avatares 3D generados para la comunicación en línea.,https://hyperhuman.deemos.com/chatavatar?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,Spheroid,Personalice los avatares 3D para la interacción AR.,https://avatars.spheroid.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,Picapiu,Crea avatares/perfiles a partir de imágenes del usuario.,https://www.vistud.io/picapiu?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,Newtype AI,Obtenga su mashup de personajes de anime en un solo clic,https://newtype.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,Avaturn,Convierte a las personas en avatares 3D realistas realistas en 3D,https://avaturn.me?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,Imagetocartoon,"ImageToCartoon es un fabricante de avatar que utiliza inteligencia artificial para convertir sus fotos en versiones de dibujos animados. La aplicación tiene una interfaz simple que facilita la aplicación del efecto de dibujos animados a sus imágenes. También ofrece una amplia gama de efectos de dibujos animados, que incluyen tradicionales, acuarela, boceto y más. Esto significa que puede elegir el estilo que mejor se adapte a su imagen y su preferencia personal.",https://imagetocartoon.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
13,Caricaturer.io,Un fabricante de fotos de caricatura en línea.,https://caricaturer.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
14,Character AI,El personaje .i te permite crear personajes y hablar con ellos.,https://beta.character.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
