,Nombres,Descripcion,Pagina
0,Casper AI,"Una herramienta para que los profesionales simplifiquen su flujo de trabajo resumiendo artículos, creando contenido y compartiendo ideas con las partes interesadas

Desbloquee el poder de la IA con la extensión de Chrome de Casper. Casper agiliza su flujo de trabajo con ideas y resúmenes, utilizando el GPT de OpenAI.

Ya sea que se esté preparando para un examen, realice la debida diligencia en una inversión, trabajando en un acuerdo importante o tratando de mantenerse al tanto de una nueva legislación, Casper facilitará su trabajo.",https://chrome.google.com/webstore/detail/casper-ai/fgfiokgecpkambjildjleljjcihnocel?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,Microsoft Bing,"Bing de Microsoft ahora integra IA junto con un copiloto del navegador. El nuevo Bing es como tener un asistente de investigación, un planificador personal y un socio creativo a su lado cada vez que busca en la web. Con este conjunto de funciones con IA, puede:
Haga su pregunta real. Cuando hace preguntas complejas, Bing le da respuestas detalladas.

Obtenga una respuesta real. Bing analiza los resultados de búsqueda en la web para ofrecerle una respuesta resumida.

Ser creativo. Cuando necesite inspiración, Bing puede ayudarlo a escribir poemas, historias o incluso compartir ideas para un proyecto.

En la experiencia de chat, también puede chatear y hacer preguntas de seguimiento como ""¿Puede explicarlo en términos más simples"" o ""Dame más opciones"" para obtener respuestas diferentes e incluso más detalladas en su búsqueda?",https://www.bing.com/new?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,MeetGeek,"MeetGeek ayuda a maximizar el valor de las reuniones registrando, resumiendo y compartiendo los aspectos más destacados clave con los equipos. Ofrece transcripción en tiempo real y subtitción durante reuniones, grabaciones, transcripciones, búsquedas de palabras clave, consejos a medida y notas basadas en IA. Las integraciones están disponibles con Google Calendar, Microsoft Outlook, Zoom, equipos de Microsoft, plataformas de administración de tareas, repositorios de documentos y herramientas de colaboración. Hay soporte para múltiples idiomas y puede enviar resúmenes de reuniones directamente a las bandejas de entrada de los usuarios.",https://meetgeek.grsm.io/h3c09ouw0l03?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,ReleaseNote.AI,"Notas de lanzamiento simplificadas con GPT-3. Simplemente enumere sus funciones y actualizaciones, y deje que la IA escriba su primer borrador. Incluso te permite escribir tus notas de lanzamiento en el estilo del habla de Yoda, Sherlock Holmes, Eminem y más",https://releasenote.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,ChatGPT Writer,"Extensión gratuita de Chrome que utiliza ChatGPT AI para generar correos electrónicos o respuestas en función de algunas palabras clave que ingrese. Actualmente compatible con Gmail. Admite todos los idiomas populares, simplemente mencionándolo en el mensaje de texto.",https://chatgptwriter.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,ChatGPT Chrome Extension,"Muestre la respuesta de ChatGPT junto con los resultados de búsqueda de Google, Bing, Duckduckgo. Le brinda soluciones sorprendentemente detalladas a sus consultas, desde escribir una propuesta de graduación para arreglar su código.",https://chrome.google.com/webstore/detail/chatgpt-for-search-engine/feeonheemodpkdckaljcjogdncpiiban?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,Merlin,"Merlin le brinda el poder de ChatGPT de OpenAI en todos sus sitios web favoritos. Ej: Gmail, G-Hojas, Twitter, LinkedIn, etc. en cualquier lugar que busque o escriba en línea. Con Merlín puede editar rápidamente sus correos electrónicos, escribir respuestas de Twitter o crear fórmulas de Excel.",https://merlin.foyer.work/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,Circleback.ai,"Circleback es su asistente personal de IA que transcribe su llamada dentro de Zoom, Meet o Teams, para que no se pierda un momento crucial. Luego resume los puntos más importantes en varios formatos y crea un correo electrónico de seguimiento para usted. Busque fácilmente las reuniones de la forma en que le preguntaría a ChatGPT escribiendo una pregunta como ""¿Qué cliente me dijo que fueron a Cuba?"" Gratis para usar.",https://www.circleback.ai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,Tooltips AI,Resaltar palabras o párrafos en cualquier lugar usando esta extensión y obtener explicaciones simples usando AI,https://tooltips.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,WriteGPT,"WriteGPT está capacitando a los profesionales para convertirse en sobrehumanos con tareas cotidianas. Superar los hábitos de navegación improductivos accediendo a WriteGPT usando solo una tecla de acceso rápido de un teclado sin costuras. Además, facilitamos la ingeniería rápida para leer, escribir, reescribir, responder correos electrónicos, código e investigar cualquier contenido de manera efectiva.",https://writegpt.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,Corpora,"No solo organice sus documentos. Entiendelo.
Utilizamos modelos de idioma AI para ayudarlo a automatizar los flujos de trabajo de investigación, como partes de la revisión de documentos. Podemos buscar documentos relevantes sin una coincidencia de palabras clave perfecta, resumir las conclusiones del documento específico a su pregunta y extraer información clave del documento.
Podemos ayudar con la lluvia de ideas y la resumen.",https://www.askcorpora.com?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,GPT For Me,GPTForme le brinda el poder de la IA para interactuar con contenido personal o de nicho que el modelo público GPT-3 no conoce. Es un prototipo destinado a demostrar el potencial de GPT-3 para casos de uso personalizados.,https://gptfor.me/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,LiveAI Bot,"Tenga acceso a un poderoso chatbot que funcione las 24 horas, los 7 días de la semana para mantener a su comunidad comprometida y activa. Ya sea que necesite ayuda para generar imágenes, componer tweets, escribir código o incluso crear artículos, Liveal Bot lo tiene cubierto.",https://t.me/chatlive_ai_bot?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
13,ChatGenius,"Experimente el futuro de la conversación con Chat Genius: la aplicación AI Chatbot basada en GPT que proporciona conversaciones inteligentes y perfectas para crear su propio asistente virtual, personalizado para su gusto. Elija un nombre y género, y deje que su asistente lo ayude con varias tareas, responda sus preguntas e incluso converse con usted.",https://chatgenius.tech/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
14,Sagify,¡Una herramienta de línea de comandos para entrenar e implementar modelos de aprendizaje automático/aprendizaje profundo en AWS Sagemaker en algunos pasos simples!,https://kenza-ai.github.io/sagify/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
15,WebChatGPT,Esta extensión agrega resultados web relevantes a sus indicaciones para ChatGPT para conversaciones más precisas y actualizadas.,https://chrome.google.com/webstore/detail/webchatgpt/lpfemeioodjbpieminkklglpmhlngfcn?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
16,NeuroSpell,"NeuroSpell es un corrector automático de ortografía y gramática basado en el aprendizaje profundo. Disponible en más de 30 idiomas. Dictaphone (discurso a texto) incluido para todos los idiomas. Puede ser entrenado para vocabulario y fraseo específicos en el dominio, y correcciones de error específicas. Otras características incluyen: la optimización de carga humana en el circuito. Mejora/enriquecimiento de la transmisión de texto. Ayuda de escritura. REDICIÓN RPA. Enriquecimiento de entradas del flujo del cliente. Mejora del habla a texto. Corrección de errores de OCR.",https://neurospell.com?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
17,EvelynAI,"Evelynai es una herramienta que lleva el poder de GPT-3, la IA de procesamiento del lenguaje de última generación, a Telegram. Le ayudará a crear tweets, publicaciones, blogs y más utilizando indicaciones de texto.",https://t.me/EvelynxAI?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
18,Bright Eye,"Bright Eye es una aplicación AI multipropósito que tiene múltiples herramientas para satisfacer sus intereses en IA como usuario móvil. Entre sus herramientas se encuentran la generación de arte/imagen, generación de códigos, generación de ensayos y poemas, y extracción de texto y subtítulos de imágenes.",https://apps.apple.com/us/app/bright-eye/id1593932475?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
19,FlowGPT,"FlowGPT: Comparta, descubre y aprenda sobre las indicaciones de CHATGPT más útiles que lo ayudan a optimizar sus tareas y aumentar la productividad.",https://flowgpt.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
20,TinyWow,"Herramientas de utilidad con IA para facilitar su vida. Las herramientas más comunes incluyen, PDF, video, imagen, escritura de IA y herramientas convertidoras.",https://tinywow.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
21,Maester.app,"Desbloquee todo el potencial de GPT-3 con nuestro motor de plantilla intuitiva.
Genere rápidamente la salida personalizada adaptada a sus necesidades repetidas y compártalas con el mundo. Puede ayudarlo en gestión de contenido, universidad y trabajo y desarrollo de software.",https://maester.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
22,texti,¡Ai que vive en tu navegador! ¡Cooperará con usted para aumentar la calidad de su contenido!,https://texti.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
23,Text Generator Plugin,"Text Generator es una herramienta de asistente de IA de código abierto que aporta el poder de la inteligencia artificial generativa al poder de la creación y organización de conocimiento en obsidiana.

Por ejemplo, use el generador de texto para generar ideas, títulos atractivos, resúmenes, esquemas y párrafos completos basados ​​en su base de datos de conocimiento.

¡Las posibilidades son infinitas!",https://text-gen.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
