,Nombres,Descripcion,Pagina
0,Pixelicious,Convertidor de arte de píxeles,https://www.pixelicious.xyz/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,Booom.ai,Generar un juego de trivia usando AI,https://joinplayroom.com/games/booom/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,GameGuide,"Guía que mejore las estrategias de los jugadores, los tutoriales y los consejos para varios juegos populares.",https://gameguide.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,Framedrop,Identifica automáticamente los mejores momentos de transmisiones en vivo y ofrece opciones de edición y intercambio rápidos.,https://www.framedrop.gg/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,Unprompted,No supervisado es un juego de adivinanzas de imágenes que desafía a los usuarios a adivinar las palabras utilizadas para crear imágenes generadas por IA,https://www.unpromptedgame.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,Betafish.js,Betafish.js es una IA de ajedrez basada en JavaScript diseñada para aplicaciones basadas en la web,https://betafish.gavinong.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,Booom,Booom es un juego de trivia multijugador impulsado por inteligencia artificial.,https://booom.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,DINGR,Nuestra solución con IA te ayuda a analizar con precisión tu desempeño en League of Legends y convertirte en un mejor jugador,https://dingr.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,Orbofi,Vender la plataforma de activos de medios virtuales.,https://www.orbofi.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,Are You Smarter Than ChatGPT,Desafío de preguntas con una entretenida experiencia en el usuario.,https://smarterthangpt.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,Voyager,Un agente incorporado abierto con modelos de idiomas grandes,https://voyager.minedojo.org/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,GPTGame,Creador de juegos generado para la creación de prototipos.,https://www.gptgame.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,LLMChess,Jugó el ajedrez inteligente.,https://llmchess.org/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
13,Chess,Chatbot que juega el ajedrez con IA para un juego comprometido y desafiante,https://chessgpt.atomic14.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
14,Segmentle,Juego de números creados por AI para desarrollo de habilidades divertidas y cognitivas.,https://segmentle.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
15,Human or Not,Un juego social de turing,https://www.humanornot.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
16,Saga,AI Text RPG que ofrece experiencia a pedido,https://saga3.vercel.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
17,Unakin,"Ayudar a los estudios de juegos a construir más éxitos, con prototipos de texto a juego",https://www.unakin.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
18,ArcaneLand,Experimenta el maestro de mazmorras de IA más inteligente hasta ahora,https://arcane.land/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
19,Friends & Fables,Un bote de discordia de mazmorra de mazmorra con IA,https://www.fables.gg/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
20,TTSLabs,"Personalización de TTS, voces personalizadas, clips de sonido e integración de twitch sin problemas para los streamers",https://ttslabs.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
21,PICLY : AI generated spot the difference,Spot generado por IA El juego de diferencia,https://www.picly.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
