,Nombres,Descripcion,Pagina
0,Pixelicious,"Un convertidor de arte de imagen a píxel en línea. Permite a las personas subir sus imágenes y convertirlas en arte de píxeles que se pueda usar para el desarrollo de juegos. Después de cargar la imagen, se procesará y el usuario puede descargar el resultado.",https://www.pixelicious.xyz/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,GitFluence,Gitfluence es una solución impulsada por IA que lo ayuda a encontrar rápidamente el comando correcto. Comience hoy con Git Command Generator y ahorre tiempo.,https://www.gitfluence.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,Cron AI,Genere trabajos cron simplemente describiendo con qué frecuencia desea que funcionen.,https://cron-ai.vercel.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,Laion,"Laion, como organización sin fines de lucro, proporciona conjuntos de datos, herramientas y modelos para liberar la investigación de aprendizaje automático. Fomentan la educación pública abierta y un uso más amigable con el medio ambiente de los recursos al reutilizar los conjuntos de datos y los modelos existentes.",https://laion.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,fast.ai,Fast.AI es un grupo de investigación sin fines de lucro centrado en el aprendizaje profundo y la inteligencia artificial. Tienen varios cursos útiles en su sitio web.,https://www.fast.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,Amazon CodeWhisperer,Amazon Codewhisperer es un servicio de aprendizaje automático (ML) que ayuda a mejorar la productividad del desarrollador mediante la generación de recomendaciones de código en función de sus comentarios en lenguaje natural y código en el entorno de desarrollo integrado (IDE).,https://aws.amazon.com/codewhisperer/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,Teachable Machine,"Teachable Machine es una herramienta basada en la web que hace que la creación de modelos de aprendizaje automático sea rápido, fácil y accesible para todos. Está destinado a ser utilizado por educadores, artistas, estudiantes, innovadores, creadores de todo tipo, realmente, cualquier persona que tenga una idea que quiera explorar. No se requiere conocimiento de aprendizaje automático previo.",https://teachablemachine.withgoogle.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,RTutor,"RTUTOR es una aplicación basada en IA que puede generar y probar rápidamente el código R. Impulsado por API llamadas al Davinci de Openi (hermano de Chatgpt), Rtutor traduce los idiomas naturales en scripts R, que luego se ejecutan dentro de la plataforma brillante. Se puede generar un archivo de origen R Markdown y un informe HTML.
Echa un vistazo al repositorio de GitHub aquí: https://github.com/gexijin/rtutor",http://rtutor.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,AI CLI,"CLI de código abierto GPT -3
La longitud de solicitud actual es de ~ 840 tokens y el precio para Text-Davinci-002 es de $ 0.02 por tokens 1K, que es ~ $ 0.017/comando. Veremos si podemos mejorar la respuesta y reducir el costo por comando con ajuste fino.",https://github.com/abhagsain/ai-cli?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,Helicone,"Simplifique el monitoreo GPT-3 con una línea de código. Para usar, reemplace la URL base con el SDK. Agregue su tecla OpenAI a Valyr y vea las solicitudes en el tablero.",https://valyr.vercel.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,MarsAi,"Atención a todos los desarrolladores, empresarios y entusiastas de la tecnología: ¿Estás listo para revolucionar el mundo del desarrollo de software? Con Marsx, puede crear aplicaciones de alta calidad rápida y fácilmente, sin la necesidad de reinventar la rueda o pasar horas escribiendo código complejo. Nuestra plataforma de bajo código le permite concentrarse en los aspectos únicos de sus proyectos, mientras que nuestro modelo basado en suscripción proporciona acceso a todas las micro aplicaciones creadas por miles de desarrolladores.
¡Pero eso no es todo! Al construir micro-aplicaciones y publicarlos en nuestro mercado, puede generar un flujo de ingresos sostenible y llevar su carrera al siguiente nivel. Con Marsx, puede crear microapps en lugar de construir otro SaaS con menos ajetreo y sin necesidad de comercializar, y ser pagado por miles de usuarios.
¡Únase a nosotros y desbloquee el potencial de la tecnología de bajo código, las micro-aplicaciones y la productividad loca! 🚀",https://www.marsx.dev/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,Safurai,"Safurai es una extensión IDE basada en AI diseñada para ayudar a los desarrolladores con codificación, depuración y refactorización. Actúa como un asistente virtual, proporcionando soluciones y sugerencias para cualquier problema que pueda surgir durante el proceso de desarrollo de software. Con Safurai, los desarrolladores pueden mejorar su flujo de trabajo y su calidad de código, lo que hace que el proceso de desarrollo sea más eficiente y simplificado.",https://www.safurai.com?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,Auto Backend,Describa lo que le gustaría que su backend haga en una o dos oraciones. También puede explorar aplicaciones creadas por otros en la sección de la galería del sitio web.,https://www.autobackend.dev/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
13,WAAS,GUI y API para Operai Whisper,https://github.com/schibsted/WAAS?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
14,HeyCLI,HeyCli puede ayudarte traduciendo el lenguaje natural a los comandos terminales.,https://www.heycli.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
15,Polymath,"Polymath utiliza el aprendizaje automático para convertir cualquier biblioteca de música (por ejemplo, desde drive o YouTube) en una biblioteca de muestra de producción musical. La herramienta separa automáticamente las canciones en tallos (ritmos, bajo, etc.), las cuantifica al mismo tempo y red de ritmo (por ejemplo, 120 ppm) y analiza la estructura musical (por ejemplo, verso, coro, etc.), clave (por ejemplo, C4, E3 , etc.) y otros infos (timbre, volumen, etc.). El resultado es una biblioteca de muestras de búsqueda que agiliza el flujo de trabajo para productores musicales, DJ y desarrolladores de audio ML.",https://github.com/samim23/polymath?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
16,Hacker AI,"Una IA que lo piratea para asegurar sus aplicaciones. Use para profesionales de ciberseguridad y cualquier otra persona que escriba código.
Hacker AI detecta vulnerabilidades en el código fuente. Gratis con una API freemium que se lanza pronto. Hecho por https://twitter.com/chaignc",https://hacker-ai.online?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
17,Ogen AI,Convierta los enlaces en imagen OG / foto de portada usando ChatGPT y difusión estable. También puede ver imágenes previamente generadas.,https://ogen.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
18,AuthorAI,"En Autorai estamos reinventando la experiencia de autoría impulsada por AI. Estamos explorando cómo el estado del arte en la IA puede mejorar el flujo de autor creativo a medida que se aplica a la creación de aplicaciones, libros, blogs, sitios, datos, diseños, informes, etc.",https://www.authorai.org?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
19,Sagify,¡Una herramienta de línea de comandos para entrenar e implementar modelos de aprendizaje automático/aprendizaje profundo en AWS Sagemaker en algunos pasos simples!,https://kenza-ai.github.io/sagify/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
20,Petals,Herramienta de código abierto para ejecutar modelos de idiomas grandes como Bloom-176b en colaboración: carga una pequeña parte del modelo y luego se combina con personas que sirven a las otras partes para ejecutar inferencia o ajuste fino.,https://petals.ml/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
21,Airtest,"Genere pruebas unitarias usando AI. Admite varios idiomas, incluidos TypeScript y Python. También admite varios marcos de prueba como Mocha y Jest",https://www.airtest.dev/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
22,PromptLayer,"ARDLEYER es la primera plataforma que le permite rastrear y administrar su ingeniería indicada GPT. ARDLAYER actúa un middleware entre su código y la biblioteca Python de OpenAI.
ARDLAYER registra todas sus solicitudes de API de OpenAI, lo que le permite buscar y explorar el historial de solicitudes en el tablero de apuros.",https://promptlayer.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
23,Buildt,"Búsqueda con AI para encontrar código buscando lo que hace, no solo lo que es.
Una vez que encuentre la parte de la base de código, su IA le permite hacer cambios simplemente describiendo lo que desea.",https://www.buildt.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
24,HTTPie AI,"Genere solicitudes de API usando lenguaje sencillo. Httpie está haciendo simples API
e intuitivo para aquellos que construyen las herramientas de nuestro tiempo.",https://httpie.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
25,Liner.ai,Liner es una herramienta gratuita que le permite entrenar fácilmente sus modelos ML. Toma sus datos de entrenamiento y le brinda un modelo ML fácil de integrar. No se requiere codificación o experiencia en aprendizaje automático.,https://liner.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
26,Whisper,"Whisper es un modelo de reconocimiento de voz de uso general. Está capacitado en un gran conjunto de datos de audio diverso y también es un modelo de varias tareas que puede realizar un reconocimiento de voz multilingüe, así como la traducción del habla y la identificación del lenguaje.",https://github.com/openai/whisper?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
27,Shumai (Meta),"Shumai es una biblioteca de tensor diferenciable de código abierto, rápida, conectada a la red y diferenciable para TypeScript (y JavaScript). Construido con BUN + Linterna para ingenieros de software e investigadores por igual.",https://github.com/facebookresearch/shumai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
28,Dust,"Diseñar e implementar aplicaciones de modelos de idiomas grandes.
Ingeniería rápida, reimaginada🔥
Construido sobre años de experiencia trabajando con grandes modelos de idiomas.
Con un objetivo, ayude a acelerar su despliegue.",https://dust.tt/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
