,Nombres,Descripcion,Pagina
0,Meshy,Crea impresionantes activos de juego 3D con AI,https://www.meshy.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,Pixela AI,Texturas del juego generadas por IA. ¡Comparte el tuyo con la comunidad!,https://pixela.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,GET3D (Nvidia),Formas texturizadas 3D generativas a partir de imágenes.,https://nv-tlabs.github.io/GET3D/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,Motionshift,Sin esfuerzo produce videos y anuncios 2D y 3D de alta calidad sin requerir habilidades de diseño.,https://www.motionshift.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,Any Image to 3D,"Simplifica el proceso de convertir imágenes 2D en modelos 3D completamente detallados, que atiende a industrias como juegos, robótica, realidad mixta, VFX y comercio electrónico.",https://www.csm.ai/any-image-to-3d?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,2D&3D Video Converter,IDATAPP 3D Converter: Transforme sus videos en impresionantes obras maestras 3D,https://idatapp.com/software/3d-converter?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,LeiaPix,Imagen a la animación 3D,https://convert.leiapix.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,Polyhive,Generación de textura consciente de malla para activos 3D.,https://www.polyhive.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,3DFY,3DFY.AI es una herramienta de inteligencia artificial (AI) que permite la creación de modelos 3D de alta calidad con solo unas pocas imágenes existentes.,https://3dfy.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,Neuralangelo by NVIDIA,"Neuralangelo, un nuevo modelo de IA de Nvidia Research para la reconstrucción 3D utilizando redes neuronales.",https://blogs.nvidia.com/blog/2023/06/01/neuralangelo-ai-research-3d-reconstruction/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,MakePose,Cree caracteres personalizados a través de indicaciones y poses.,https://makepose.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,Recraft,"Generar arte vectorial, imágenes 3D y más",https://www.recraft.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,Logo mockup,Generador de maqueta 3D premium para logotipos.,https://logo-mockup.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
13,ChatCAD,Aplicación con IA que permite la creación fácil de modelos 3D a través de la comunicación del lenguaje natural.,https://www.chatcad.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
14,Shap-e,El repositorio de GitHub OpenAI/Shap-E es una herramienta de IA que puede generar objetos 3D basados ​​en texto o imágenes.,https://github.com/openai/shap-e?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
15, Farm3D,Aprendizaje de animales 3D articulados destilando la difusión 2D,https://farm3d.github.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
16,Replicate Codex,"Una herramienta gratuita para buscar, filtrar, clasificar y descubrir modelos AI",https://www.replicatecodex.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
17,Skybox Lab,Skybox Lab: Generador de imágenes de un solo clic de 360 ​​° de Blockade Labs,https://skybox.blockadelabs.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
18,Avaturn,Convierte a las personas en avatares 3D realistas realistas en 3D,https://avaturn.me?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
19,Kinetix,"Crea animaciones 3D gratis. Sin código, no se necesitan habilidades. Explore el metaverso.",https://www.kinetix.tech/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
20,Ponzu,Texturas generadas por IA utilizadas para mejorar los activos 3D.,https://www.ponzu.gg/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
