,Nombres,Descripcion,Pagina
0,Piggy To,"Cree una página web atractiva y compartible en segundos. Al ingresar un aviso, la herramienta genera 7-10 diapositivas en un formato móvil, ahorrando tiempo y garantizando contenido visualmente atractivo. Ideal para empresas e individuos, Piggy Magic ofrece una solución fácil de ahorrar tiempo para crear contenido impactante. También puede mencionar su bot de Twitter con un tema para obtener una hermosa cerda sobre ese tema en un minuto (por ejemplo, ""@makeapiggy los libros más populares"")",https://piggy.to/magic?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,Dream Interpreter,"Un intérprete de sueño construido con GPT-3. Pregúntele el significado de su sueño y lo interpretará para usted, lo que le permitirá votar o votar el significado",https://dreaminterpreter.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,Namelix,Namelix generará un nombre comercial corto y marcado utilizando inteligencia artificial. También es ideal para descubrir nuevos nombres de dominio :),https://namelix.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,Codeium,"Codeium es la superpotencia de codificación moderna, un conjunto de herramientas de aceleración de código basado en la tecnología de IA de vanguardia. Con una fácil integración en los editores, puede concentrarse en ser el mejor desarrollador de software, no el mejor mono de código.",https://www.codeium.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,Riffusion,"Riffusion genera música a partir de indicaciones de texto. Pruebe sus estilos favoritos, instrumentos como saxofón o violín, modificadores como árabe o jamaicano, géneros como jazz o evangelio, suena como campanas de iglesias o lluvia, o cualquier combinación",https://www.riffusion.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,Tome,"El futuro de la narración generativa está aquí.
Desbloquee su mejor trabajo con el formato de narración de narración de Tome AI.",https://beta.tome.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,AI Data Sidekick,"Escriba SQL, documentación y más 10 veces más rápido con nuestra colección de poderosas recetas.
‍Free para individuos y equipos pequeños.",https://www.airops.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,ThumbnailAi,"Ayudar a las personas a optimizar sus miniaturas de YouTube dándoles una calificación de IA.
Elija una imagen o arrástrela al sitio web y obtendrá sugerencias para mejorar la miniatura.",https://thumbnail-ai.ybouane.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,Where To,"Este sitio web se trata de ayudar a las personas a encontrar lugares interesantes y divertidos para visitar. Cuando haga clic en el botón 'Averigüe', le mostrará diferentes lugares que puede explorar. Podría ser cualquier cosa, desde un nuevo restaurante hasta un museo, o incluso un parque temático. Sea lo que sea, este sitio web está diseñado para ayudarlo a encontrar algo divertido que hacer y ver.",https://www.wheretoai.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,Pixelicious,"Un convertidor de arte de imagen a píxel en línea. Permite a las personas subir sus imágenes y convertirlas en arte de píxeles que se pueda usar para el desarrollo de juegos. Después de cargar la imagen, se procesará y el usuario puede descargar el resultado.",https://www.pixelicious.xyz/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,Scribble Diffusion,Puede dibujar algo y presionar el botón para convertirlo en una imagen refinada. También hay un video tutorial para ayudar a las personas a aprender a construir una aplicación similar.,https://scribblediffusion.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,GitFluence,Gitfluence es una solución impulsada por IA que lo ayuda a encontrar rápidamente el comando correcto. Comience hoy con Git Command Generator y ahorre tiempo.,https://www.gitfluence.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,Cookup.ai,"Tiene una herramienta prefabricada para un montón de casos de uso para ayudar con la productividad y la creatividad, cosas como gestión de productos, marketing, programación, predicción, capital de riesgo y más",Https://cookup.ai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
13,The GPT Who Lived,"Harry Potter QA con GPT. Puede ajustar la configuración de ""mantequilla"" para controlar la aleatoriedad de las respuestas",https://huggingface.co/spaces/johnnygreco/the-gpt-who-lived?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
14,ProductBot,"ProductBot es un experto en productos de IA y un recomendador que ayuda a los usuarios a tomar decisiones de compra. Los usuarios pueden especificar sus necesidades, y la herramienta sugerirá productos relacionados.",https://www.getproduct.help/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
15,Casper AI,"Una herramienta para que los profesionales simplifiquen su flujo de trabajo resumiendo artículos, creando contenido y compartiendo ideas con las partes interesadas

Desbloquee el poder de la IA con la extensión de Chrome de Casper. Casper agiliza su flujo de trabajo con ideas y resúmenes, utilizando el GPT de OpenAI.

Ya sea que se esté preparando para un examen, realice la debida diligencia en una inversión, trabajando en un acuerdo importante o tratando de mantenerse al tanto de una nueva legislación, Casper facilitará su trabajo.",https://chrome.google.com/webstore/detail/casper-ai/fgfiokgecpkambjildjleljjcihnocel?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
16,PPLEGPT,Obtenga un entrenamiento de PPL con IA en función de su área objetivo y experiencia de entrenamiento.,https://pplegpt.vercel.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
17,Phind,Busque cualquier consulta relacionada con el desarrollo utilizando el lenguaje natural y obtenga resultados relevantes. Puede personalizar su búsqueda en función del tiempo y puede alternar enlaces de visualización.,https://phind.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
18,Uberduck,"Proporciona a los usuarios herramientas para crear audio de voz en off con más de 5,000 voces expresivas, así como clones de voz personalizados. También tiene API para crear aplicaciones de audio y RAP generados por IA. Hay un estudio de caso para demostrar cómo se puede usar para crear medios personalizados y una lista de espera para unirse a la próxima plataforma Uberbots.",https://uberduck.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
