,Nombres,Descripcion,Pagina
0,Humata AI,Chatgpt para sus archivos.,https://www.humata.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,Ask Abe,Respuestas legales confiables con citas de código legal de California,https://ask-abe-beta.vercel.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,Ask GDPR,Ofreciendo respuestas precisas y oportunas a consultas relacionadas con el Reglamento General de Protección de Datos (GDPR).,https://askgdpr.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,Chat2Contract,Alegre el proceso de gestión de contratos de forma gratuita y sin registros.,https://contractgpt.legitt.xyz/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,AI Judge,"Ofrece veredictos en línea imparciales para ayudar a la resolución de disputas, aprovechando la inteligencia artificial para decisiones justas y justas.",https://aijudge.pro/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,Lawrie AI,"Lawrie AI es la mejor solución para leer contratos y acuerdos sin esfuerzo, sin la necesidad de una lectura tediosa o caros de abogados.",https://apps.apple.com/us/app/lawrie-ai/id6451135455?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,Ask-rbg,¿Qué diría RBG (probablemente)? es un experimento de IA creado por AI21 Labs que permite a los usuarios pedirle al juez Ruth Bader Ginsburg una pregunta sí o no y recibir una respuesta generada por IA.,https://ask-rbg.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,Ask AI Lawyer,Asesoramiento de IA legal gratuito en 5 minutos,https://www.askailawyer.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,Traverse AI™,La primera herramienta de inteligencia de IA del mundo para clientes de derecho,https://www.traverselegal.com/traverse-ai-home/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,IndiaGPT,Un chatbot a IA para la constitución india y la información de IPC,https://indiagpt.unicornplatform.page/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,PatentPal,IA generativa para propiedad intelectual.,https://patentpal.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,Activazon,Servicio Analítico del Informe del Crimen para residentes y visitantes informados.,https://activazon.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
