,Nombres,Descripcion,Pagina
0,Ordinary People Prompts,"Diseñado para escapar de la paradoja de ChatGPT de elección. Con las indicaciones comunes, todos pueden hacer uso de la inteligencia artificial conversacional. Aprenda, inspírese con otros, cree, vote y comente sus indicaciones de IA favoritas para la gente común.",https://www.ordinarypeopleprompts.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,MidJourney Prompt Helper,"Una herramienta de código abierto que facilita a las personas explorar estilos, y complejos indicaciones de mediana edad, visualmente.",https://prompt.noonshot.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,Public Prompts,Colección de indicaciones de alta calidad y código abierto para la generación de imágenes,https://publicprompts.art/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,Promptist,"El indicador es una interfaz de inmediato para la difusión estable V1-4 que optimiza la entrada del usuario en las indicaciones preferidas con el modelo. La demostración en línea de Hugging Face Spaces está usando CPU, por lo que se esperaría la velocidad de generación lenta. Cargue el modelo localmente con GPU para una generación más rápida.",https://huggingface.co/spaces/microsoft/Promptist?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,Aigur.dev,Una biblioteca gratuita y OpenSource (MIT) para componer e invocar tuberías de IA generativas completamente escritas. ¡Crea una imagen a través de tu voz o un poema a través de una imagen! Use la IA generativa para usar casos en los que no pensó antes.,https://client.aigur.dev/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,Clio,"Un generador de indicadores de difusión estables, que ayuda a las personas a crear historias, arte y música al proporcionarles indicaciones. A través de este sitio web, los usuarios pueden acceder a un indicador rápido, S.W.A.G. (que significa generador de asistencia para escribir historias) y un estudio para crear sus propias historias. El sitio web también incluye palabras clave recomendadas y fuentes de inspiración de cientos de artistas, investigadores y aficionados independientes.",http://clio.so?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,ECommerce Prompt Generator,¡Readymade ChatGPT recetas rápidas creadas por ingenieros rápidos para ayudarlo a configurar su tienda y campañas de marketing rápidamente!,https://www.ecommerceprompts.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,PrompBase,"Un generador de inmediato libre que ayuda a las personas a crear imágenes e historias al proporcionarles ideas y indicaciones. Ofrece una variedad de opciones que se pueden usar para crear diferentes tipos de imágenes e historias. Tiene opciones como estilos de dibujos animados, estilos de fotos de alta calidad, tipos de tomas y configuraciones. También proporciona orientación para ayudar a los usuarios a crear las mejores indicaciones.",https://prompbase.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,Promptly,"¿Estás cansado de mirar una pantalla en blanco, preguntándote qué escribir a continuación? ¿Desea ahorrar tiempo y aumentar su productividad sin sacrificar la calidad en su escritura? No busque más, porque la respuesta a sus problemas está aquí, de inmediato, el complemento Super Chrome que ofrece indefinidos indefinidos para el software de escritura de IA.

Con su interfaz fácil de usar y sus características innovadoras, rápidamente está cambiando el juego para los escritores en todas partes. Ya sea que sea un blogger, redactor o creador de contenido, este complemento le facilitará la vida y le ayudará a producir una escritura excepcional en una fracción del tiempo.",https://chrome.google.com/webstore/detail/promptly/cbbcphmidjdoikocpbjohadbncadphkh?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,PromptExtend,Extienda/genere mejores indicaciones de arte de IA para MidJourney y otros para elaborar el aviso de inicio de la base en uno más detallado para mejores artes de IA.,https://www.promptextend.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,Promptable,"Alegre su flujo de trabajo de ingeniería indicador GPT-3 con las herramientas y características avanzadas de Progratable. También puede organizar sus indicaciones, rastrear los cambios, evaluar e implementar sus indicaciones. También hay una comunidad asociada con ella.",https://promptable.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,Pheeds Prompt Silo,Colección masiva de indicaciones y herramientas para el arte de IA y el chatgpt para una fácil artesanía.,https://pheeds.com/PromptSilo.php?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,PromptStacks,"Ofrecen un conjunto de indicaciones revisadas gratuitas seleccionadas para modelos de idiomas grandes como ChatGPT y entregados a través de ingeniería rápida para que pueda pasar su tiempo en cosas importantes. También hay una comunidad asociada con él donde puede ver las mejores indicaciones votadas, enviar indicaciones o unirse a su discordia.",https://www.promptstacks.com/?utm_source=futurepedia
13,PromptLayer,"ARDLEYER es la primera plataforma que le permite rastrear y administrar su ingeniería indicada GPT. ARDLAYER actúa un middleware entre su código y la biblioteca Python de OpenAI.
ARDLAYER registra todas sus solicitudes de API de OpenAI, lo que le permite buscar y explorar el historial de solicitudes en el tablero de apuros.",https://promptlayer.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
14,Jrnylist,"MidJourney Pronth Helper. - Explore docenas de indicaciones categorizadas como arte e ilustración o activos y UIS
También puede enviar su propio aviso.",https://www.jrnylist.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
15,Openart,"Buscar más de 10 m+ de arte y indicaciones generadas por Dall · E 2, MidJourney, difusión estable",https://openart.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
16,PromptHero,"Buscar millones de imágenes de arte de modelos de IA como Dall-E, Diffusion Stable, MidJourney ...",https://prompthero.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
17,Krea,Explore millones de imágenes generadas por IA y cree colecciones de indicaciones. Con generaciones de difusión estables.,https://www.krea.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
18,Dallelist,"Dallelist le permite generar indicaciones fácilmente utilizando imágenes y estilos como referencias. (Palabras clave)
Ofrecen una extensión de Chrome que también se integra con el sitio web de Dalle.",https://www.dallelist.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
