,Nombres,Descripcion,Pagina
0,Casper AI,"Una herramienta para que los profesionales simplifiquen su flujo de trabajo resumiendo artículos, creando contenido y compartiendo ideas con las partes interesadas

Desbloquee el poder de la IA con la extensión de Chrome de Casper. Casper agiliza su flujo de trabajo con ideas y resúmenes, utilizando el GPT de OpenAI.

Ya sea que se esté preparando para un examen, realice la debida diligencia en una inversión, trabajando en un acuerdo importante o tratando de mantenerse al tanto de una nueva legislación, Casper facilitará su trabajo.",https://chrome.google.com/webstore/detail/casper-ai/fgfiokgecpkambjildjleljjcihnocel?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,TechCrunch Summary,"Resumen de noticias con GPT-3, específicamente para artículos de TechCrunch.
Este proyecto utiliza la API Operai GPT-3 (específicamente, Text-Davinci-003) y las funciones de Vircel Edge con transmisión. Obtiene el contenido en un artículo de TechCrunch, lo envía en un aviso a la API GPT-3 para resumirlo a través de una función Vercel Edge, luego transmite la respuesta a la aplicación.",https://www.techcrunchsummary.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,Circleback.ai,"Circleback es su asistente personal de IA que transcribe su llamada dentro de Zoom, Meet o Teams, para que no se pierda un momento crucial. Luego resume los puntos más importantes en varios formatos y crea un correo electrónico de seguimiento para usted. Busque fácilmente las reuniones de la forma en que le preguntaría a ChatGPT escribiendo una pregunta como ""¿Qué cliente me dijo que fueron a Cuba?"" Gratis para usar.",https://www.circleback.ai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3,Tooltips AI,Resaltar palabras o párrafos en cualquier lugar usando esta extensión y obtener explicaciones simples usando AI,https://tooltips.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,SolidPoint,Pegue una URL de video de YouTube y obtenga un resumen de ella. También puede ver resúmenes de tendencias en el sitio web.,https://solidpoint.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,WriteGPT,"WriteGPT está capacitando a los profesionales para convertirse en sobrehumanos con tareas cotidianas. Superar los hábitos de navegación improductivos accediendo a WriteGPT usando solo una tecla de acceso rápido de un teclado sin costuras. Además, facilitamos la ingeniería rápida para leer, escribir, reescribir, responder correos electrónicos, código e investigar cualquier contenido de manera efectiva.",https://writegpt.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,YouTube Summarized,Esta extensión de Chrome le permite resumir videos de YouTube de cualquier longitud utilizando su tecla OpenAI. Es muy útil para crear notas o encontrar los puntos principales de un video sin tener que verlo.,https://youtubesummarized.com?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,Gimme Summary AI,Gimme Resumen AI es una extensión gratuita de Chrome que utiliza ChatGPT para resumir artículos en la web. Es 100% gratuito y amigable con la privacidad. También tiene una función de acceso directo de teclado.,https://gimmesummary.ai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,Skim It,Obtenga un resumen de IA de cualquier artículo entregado a su bandeja de entrada. Solo necesita enviarlos por correo electrónico a go@skimit.ai y envían un correo electrónico en un resumen dentro de ~ 10 minutos. También le envían borradores de tweets compartibles y una publicación de LinkedIn.,https://www.skimit.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,Summate,Herramienta de IA experimental que resume los artículos web. El sitio utiliza RSS de texto completo para la extracción de artículos y OpenAI para resumen de artículos.,https://summate.it/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,Summarize Tech,"Resúmenes de video con IA. Obtenga un resumen de cualquier video largo de YouTube, como una conferencia, un evento en vivo o una reunión gubernamental.",https://www.summarize.tech/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,GPT-Prompter,Extensión de Chrome para obtener una explicación rápida del texto seleccionado.,https://gptprompter.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
