,Nombres,Descripcion,Pagina
0,Humata AI,"Sube un PDF y obtiene respuestas de él.
Crea informes 100 veces más rápido. Comprender documentos técnicos 100 veces más rápido. Analizar documentos legales 100 veces más rápido",https://www.humata.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
1,Laion,"Laion, como organización sin fines de lucro, proporciona conjuntos de datos, herramientas y modelos para liberar la investigación de aprendizaje automático. Fomentan la educación pública abierta y un uso más amigable con el medio ambiente de los recursos al reutilizar los conjuntos de datos y los modelos existentes.",https://laion.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2,Arxiv Feed,Un alimento fácilmente navegable de trabajos de investigación de IA tomados de ARXIV. Actualizado regularmente.,https://arxiv-feed.vercel.app/?utm_source=futurepedia
3,PaperBrain,"Una plataforma para acceder y comprender los trabajos de investigación. Con los resúmenes de papel y los enlaces PDF directos, nunca tendrá que luchar con descargas tediosas nuevamente. Construido con un asistente de GPT para ayudarlo todo el tiempo.",https://www.paperbrain.study/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
4,Socratic by Google,"Descansarse en sus problemas académicos como ciencias, matemáticas, literatura, estudios sociales y más con la ayuda de la IA de Google y también obtenga explicaciones visuales de conceptos importantes en cada materia.",https://socratic.org/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
5,Perplexity AI,"Perplexity AI es un motor de búsqueda de IA. Es una demostración inspirada en Operai WebGPT, no un producto comercial. Utilizan modelos de idiomas grandes (API de OpenAI) y motores de búsqueda. También responde las consultas del gráfico de Twitter traduciendo el lenguaje natural al código SQL.",https://www.perplexity.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
6,Podcast,El podcast generado por AI. Hay 2 podcasts: Lex Fridman entrevista a Richard Feynman y Joe Rogan entrevista a Steve Jobs.,https://podcast.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
7,ResearchGPT,Proporciona una interfaz para habilitar una conversación con un trabajo de investigación. Ingrese un enlace a un PDF alojado en línea o cargue su propio PDF.,https://github.com/mukulpatnaik/researchgpt?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
8,SolidPoint,Pegue una URL de video de YouTube y obtenga un resumen de ella. También puede ver resúmenes de tendencias en el sitio web.,https://solidpoint.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
9,PaperList,"Este sitio web trata sobre compartir y leer trabajos de investigación. Tiene una página de inicio de sesión y registro y también múltiples documentos de investigación enumerados en el sitio web. Cada documento se acompaña del nombre del autor, el momento en que se publicó, una fuente y una opción de discusión.",https://paperlist.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
10,All  Search AI,"Busque en el contenido de 1000 de libros. Puede ajustar el período de tiempo desde donde desea que se muestren los resultados, los géneros, la cantidad de resultados que obtiene, así como la velocidad y la calidad.",https://www.allsearch.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
11,Papers GPT,"Le permite alimentar cualquier documento científico en GPT para darle un conocimiento personalizado profundo. Actualmente, UX de prueba de concepto del objetivo final de conectar datos arbitrarios.",https://jessezhang.org/llmdemo?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
12,ExplainPaper,Obtenga una explicación del texto confuso en trabajos de investigación destacándolos. Puede cargar un papel y ahorrar papeles también.,https://www.explainpaper.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
13,Summate,Herramienta de IA experimental que resume los artículos web. El sitio utiliza RSS de texto completo para la extracción de artículos y OpenAI para resumen de artículos.,https://summate.it/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
14,Consensus,"El consenso es un motor de búsqueda que utiliza IA para extraer instantáneamente, agregar y destilar hallazgos directamente de la investigación científica.",https://consensus.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
15,Elicit,"Elicit utiliza modelos de idiomas para ayudarlo a automatizar los flujos de trabajo de investigación, como partes de la revisión de la literatura.

Elicit puede encontrar documentos relevantes sin una coincidencia de palabras clave perfecta, resumir las conclusiones del documento específico de su pregunta y extraer información clave de los documentos.

Elicit también puede ayudar con otras tareas de investigación como lluvia de ideas, resumen y clasificación de texto.",https://elicit.org/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
16,Galactica,Galactica es una IA entrenada en el conocimiento científico de la humanidad. Puede usarlo como una nueva interfaz para acceder y manipular lo que sabemos sobre el universo.,https://galactica.org/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
17,Scispace,"Su copiloto de IA para decodificar cualquier trabajo de investigación.
La forma más rápida de leer y comprender la literatura científica. Destaca el texto confuso, las matemáticas y las tablas para obtener una explicación simple.
Haga preguntas de seguimiento y obtenga respuestas instantáneas.
Una nueva forma de buscar y encontrar artículos relevantes sin especificar palabras clave.",https://typeset.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
